program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
LongestIncreasingSubsequence,60,4,404,4,1303,0.6547619047619048,0.9815334575887147,0.8181476811753097,0.7361111111111112,0.9899174473234337,0.8630142792172724
LongestIncreasingSubsequence,60,5,505,3,901,1.0,0.9633528883251414,0.9816764441625707,1.0,0.9801954324706823,0.9900977162353412
LongestIncreasingSubsequence,60,6,606,4,264,0.6547619047619048,0.9803391053391055,0.8175505050505052,0.7361111111111112,0.9873536956870289,0.8617324033990701
LongestIncreasingSubsequence,60,7,707,4,201,1.0,0.9406064913527601,0.97030324567638,1.0,0.9657137592460976,0.9828568796230488
LongestIncreasingSubsequence,60,8,808,4,251,0.85,0.9722064124454564,0.9111032062227282,0.8928571428571428,0.9830097599021902,0.9379334513796664
LongestIncreasingSubsequence,60,9,909,5,596,0.7238095238095238,0.9506311920741451,0.8372203579418345,0.788888888888889,0.9732076275700436,0.8810482582294663
LongestIncreasingSubsequence,60,10,10010,3,709,0.8666666666666667,0.9390489623211767,0.9028578144939217,0.9166666666666666,0.9672912888709786,0.9419789777688226
LongestIncreasingSubsequence,120,1,101,4,2571,1.0,0.9176084903039397,0.9588042451519698,1.0,0.9566141682049888,0.9783070841024943
LongestIncreasingSubsequence,120,2,202,4,2583,0.6547619047619047,0.9837011227255131,0.819231513743709,0.7361111111111112,0.9912963679901349,0.8637037395506231
LongestIncreasingSubsequence,120,3,303,3,1309,0.7999999999999999,0.9860671541343811,0.8930335770671904,0.8571428571428571,0.9922898452310217,0.9247163511869394
LongestIncreasingSubsequence,120,4,404,4,2764,0.85,0.9787213148645855,0.9143606574322927,0.8928571428571428,0.9887058859562479,0.9407815144066953
LongestIncreasingSubsequence,120,5,505,3,2131,1.0,0.9521038636008136,0.9760519318004068,1.0,0.974659784138902,0.987329892069451
LongestIncreasingSubsequence,120,6,606,4,650,0.6547619047619048,0.98,0.8173809523809523,0.7361111111111112,0.9886161986161986,0.8623636548636548
LongestIncreasingSubsequence,120,7,707,4,534,1.0,0.9344658462635992,0.9672329231317995,1.0,0.9643847967818006,0.9821923983909002
LongestIncreasingSubsequence,120,8,808,4,1448,0.85,0.9624144961852146,0.9062072480926073,0.8928571428571428,0.9799248735712824,0.9363910082142126
LongestIncreasingSubsequence,120,9,909,5,1676,0.7238095238095237,0.9447522445732471,0.8342808841913854,0.788888888888889,0.9707274185197813,0.8798081537043352
LongestIncreasingSubsequence,120,10,10010,3,1696,1.0,0.9312415768194072,0.9656207884097037,1.0,0.9636383772586604,0.9818191886293302
LruCache,30,1,101,9,723,1.0,0.8685256536916287,0.9342628268458144,1.0,0.9277432716534499,0.963871635826725
LruCache,30,2,202,10,748,0.9857142857142858,0.8717479416008826,0.9287311136575842,0.9923076923076923,0.9293753186801316,0.9608415054939119
