tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir,uniqueTestMethods
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,2,202,class-family,2,23,0,0,97.92,97.62,99.15,76.6,47,36,11,0,0,,9.27,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run2-seed202\class-family-v1,23
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,3,303,class-family,2,23,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,9.104,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run3-seed303\class-family-v1,23
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,4,404,class-family,2,23,0,0,97.92,97.62,99.15,76.6,47,36,11,0,0,,9.446,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run4-seed404\class-family-v1,23
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,5,505,class-family,2,24,0,0,97.92,97.62,99.15,57.45,47,27,20,0,0,,10.482,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run5-seed505\class-family-v1,24
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,6,606,class-family,2,24,0,0,97.92,97.62,99.15,76.6,47,36,11,0,0,,10.397,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run6-seed606\class-family-v1,24
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,7,707,class-family,2,25,0,0,97.92,97.62,99.15,80.85,47,38,9,0,0,,9.571,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run7-seed707\class-family-v1,25
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,8,808,class-family,2,23,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,10.233,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run8-seed808\class-family-v1,23
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,9,909,class-family,2,24,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,9.742,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run9-seed909\class-family-v1,24
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,10,10010,class-family,2,25,0,0,97.92,97.62,99.15,85.11,47,40,7,0,0,,9.813,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run10-seed10010\class-family-v1,25
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,1,101,class-family,2,16,0,0,83.67,76.71,84.34,76.19,63,48,14,1,1,,14.204,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run1-seed101\class-family-v1,16
