tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,tool_a_tests,tool_b_tests,tool_a_to_tool_b_jaccard,tool_b_to_tool_a_jaccard,mean_max_jaccard,tool_a_to_tool_b_dice,tool_b_to_tool_a_dice,mean_max_dice,tool_b_budget_sec
Randoop,QwenLLM,LruCache,120,4,404,2259,10,0.9449058982923525,1.0,0.9724529491461762,0.9672858025514703,1.0,0.9836429012757352,1800
Randoop,QwenLLM,LruCache,120,5,505,1444,10,0.9308668401466185,1.0,0.9654334200733092,0.9586581585542805,1.0,0.9793290792771403,1800
Randoop,QwenLLM,LruCache,120,6,606,1893,10,0.9475006269776476,1.0,0.9737503134888238,0.9707850902597195,1.0,0.9853925451298597,1800
Randoop,QwenLLM,LruCache,120,7,707,1809,10,0.9462184029348207,1.0,0.9731092014674103,0.9683436715875143,1.0,0.9841718357937572,1800
Randoop,QwenLLM,LruCache,120,8,808,349,10,0.7886023559375995,0.8414141414141414,0.8150082486758705,0.8745154222147311,0.9092879256965943,0.8919016739556627,1800
Randoop,QwenLLM,LruCache,120,9,909,564,10,0.8857614263199369,0.8627272727272727,0.8742443495236047,0.9354208882134414,0.9203449800973023,0.9278829341553718,1800
Randoop,QwenLLM,LruCache,120,10,10010,1157,10,0.9341797403595157,1.0,0.9670898701797579,0.9608217342778681,1.0,0.980410867138934,1800
Randoop,QwenLLM,PricingEngine,120,1,101,925,5,0.7034205912441207,0.703781512605042,0.7036010519245813,0.8063685444467449,0.7887179487179488,0.7975432465823469,1800
Randoop,QwenLLM,PricingEngine,120,2,202,999,5,0.3925594267422939,0.6240476190476191,0.5083035228949565,0.5330707665419563,0.7350961538461538,0.634083460194055,1800
Randoop,QwenLLM,PricingEngine,120,3,303,1118,7,0.4505313760694839,0.956056616194865,0.7032939961321745,0.5894862477958713,0.976561369664818,0.7830238087303447,1800
Randoop,QwenLLM,PricingEngine,120,4,404,2264,3,0.017517076966775572,1.0,0.5087585384833878,0.03262400162855807,1.0,0.5163120008142791,1800
Randoop,QwenLLM,PricingEngine,120,5,505,2158,1,0.2138492483556345,0.8571428571428571,0.5354960527492458,0.3140611204637695,0.9230769230769231,0.6185690217703463,1800
Randoop,QwenLLM,PricingEngine,120,6,606,1457,5,0.4812178763209976,0.8742342342342342,0.6777260552776159,0.6241410996550806,0.9288770053475937,0.7765090525013372,1800
Randoop,QwenLLM,PricingEngine,120,7,707,1579,8,0.2260326194995039,0.7491795485216537,0.4876060840105788,0.33585294900012713,0.8415441176470588,0.588698533323593,1800
Randoop,QwenLLM,PricingEngine,120,8,808,2016,3,0.4724595127779247,0.7435786435786436,0.6080190781782842,0.5437574074290191,0.8348930481283423,0.6893252277786808,1800
Randoop,QwenLLM,PricingEngine,120,9,909,2506,6,0.2113519019910902,0.9523420479302832,0.5818469749606867,0.31123524077394943,0.9743346758272131,0.6427849583005812,1800
Randoop,QwenLLM,PricingEngine,120,10,10010,2895,6,0.39873845324870894,0.9092882607588489,0.6540133570037789,0.5281871631848296,0.9492047576606399,0.7386959604227348,1800
Randoop,QwenLLM,SimpleJsonParser,120,1,101,4,4,0.28154761904761905,0.41204954954954953,0.3467985842985843,0.4078319882611885,0.5820592062459337,0.4949455972535611,1800
Randoop,QwenLLM,SimpleJsonParser,120,2,202,4,4,0.27715572715572717,0.38288288288288286,0.330019305019305,0.4036029706945002,0.5518867924528301,0.4777448815736651,1800
Randoop,QwenLLM,SimpleJsonParser,120,3,303,4,6,0.28154761904761905,0.4188438438438438,0.35019573144573146,0.4078319882611885,0.5892973324658425,0.4985646603635155,1800
Randoop,QwenLLM,SimpleJsonParser,120,5,505,4,8,0.4880952380952381,0.45822072072072073,0.47315797940797943,0.5661764705882353,0.605644111906311,0.5859102912472731,1800
Randoop,QwenLLM,SimpleJsonParser,120,6,606,4,10,0.287468671679198,0.42200806069227126,0.3547383661857346,0.4133738601823708,0.5920020447997026,0.5026879524910367,1800
Randoop,QwenLLM,SimpleJsonParser,120,7,707,4,10,0.28154761904761905,0.3911583011583012,0.3363529601029601,0.40783198826118855,0.5604424202992843,0.48413720428023643,1800
