tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,4,404,7,5528,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,114.92,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run4-seed404
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,5,505,6,4262,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,110.816,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run5-seed505
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,6,606,3,1300,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,86.826,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run6-seed606
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,7,707,3,1068,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,93.976,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run7-seed707
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,8,808,4,2896,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,87.163,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run8-seed808
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,9,909,5,3352,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,91.995,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run9-seed909
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,10,10010,5,3392,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,152.625,113.242,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run10-seed10010
Randoop,LruCache,com.viktor.lab4.LruCache,30,1,101,3,1446,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,57.349,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run1-seed101
Randoop,LruCache,com.viktor.lab4.LruCache,30,2,202,3,1496,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,68.445,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run2-seed202
Randoop,LruCache,com.viktor.lab4.LruCache,30,3,303,2,356,0,0,81.82,100.0,83.72,50.0,6,3,3,0,0,,62.773,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run3-seed303
