tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,10,10010,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,135.366,52.371,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run10-seed10010
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,1,101,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,53.486,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run1-seed101
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,2,202,2,10,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,52.98,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run2-seed202
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,3,303,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,48.043,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run3-seed303
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,4,404,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,46.147,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run4-seed404
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,5,505,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,48.523,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run5-seed505
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,6,606,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,48.901,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run6-seed606
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,7,707,2,7,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,44.494,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run7-seed707
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,8,808,2,7,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,54.596,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run8-seed808
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,9,909,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,53.515,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run9-seed909
EvoSuite,LruCache,com.viktor.lab4.LruCache,30,10,10010,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,55.721,44.449,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\30\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/30/run10-seed10010
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,1,101,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,44.554,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run1-seed101
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,2,202,2,10,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,50.984,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run2-seed202
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,3,303,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,44.141,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run3-seed303
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,4,404,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,48.411,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run4-seed404
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,5,505,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,49.467,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run5-seed505
